row ID,row m/z,row retention time,Dta-ap Peak area,Dbh-w Peak area,Dax-tl Peak area,Dgr-ap Peak area,Dfe-w Peak area,Dgem-w Peak area,Dgi-w Peak area,Dac-tl Peak area,Dyu-w Peak area,Dau-tl Peak area,Dre-tl Peak area,Dpa-tl Peak area,Dpe-w Peak area,Dat-ls Peak area,Dki-w Peak area,Dho-w Peak area,Dde-w Peak area,Dod-fr Peak area,Dod-b Peak area,Dod-l Peak area,Dod-r Peak area,Dod-s Peak area,Dje-fr Peak area,Dje-ft Peak area,Dge-fr Peak area,Dps-fr Peak area,Dps-ft Peak area,Dpo-fr Peak area,Dpo-l Peak area,Dpo-s Peak area,Wdo-w Peak area,Wla-w Peak area,Wsc-w Peak area,Wpi-w Peak area,Wli-w Peak area,Wpa-w Peak area,Win-l Peak area,Win-s Peak area,Wca-w Peak area,Wal-w Peak area,Wli-ap Peak area,Wli-r Peak area,Wst-w Peak area,Wnu-w Peak area,Wlu-w Peak area,Wmi-tl Peak area,Wde-w Peak area,Wtr Peak area,Ega-w Peak area,Eal-w Peak area,Ech-ft Peak area,Ech-b Peak area,Ech-l Peak area,Ech-s Peak area,Ech-fr Peak area,Sch-r Peak area,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak
94,533.310957,11.6,0.0,4593010.794,1789809.077,8652590.911,0.0,0.0,0.0,0.0,565355.096,9050248.285,63500000.0,58800000.0,1150000000.0,2351239.461,0.0,19400000.0,8308489.898,0.0,0.0,0.0,0.0,0.0,0.0,8466141.343,0.0,0.0,21500000.0,92700000.0,537000000.0,1480000000.0,2531746.995,6698512.958,24900000.0,1517641.615,54900000.0,2580504.696,61600000.0,932000000.0,0.0,508729.1271,0.0,0.0,2514798.257,3043445.78,1586400.679,0.0,0.0,0.0,1674118.938,823402.4212,0.0,0.0,0.0,0.0,3282172.279,44000000.0,18,0,D,C30H44O8,possibly known,(DA04)std_simplexin,[M+H]+,none
103,643.2894135,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5585230.096,0.0,0.0,102000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,D,C38H42O9,possibly known,onishibarin B,[M+H]+,none
121,585.2692806,8.2,4793473.509,24800000.0,1363026.636,0.0,1112790.929,0.0,5455394.207,59700000.0,0.0,0.0,1807320.183,23600000.0,0.0,26000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1083240.421,0.0,0.0,5215697.459,0.0,0.0,0.0,0.0,123000000.0,380000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284204.4972,0.0,16,0,D,C32H40O10,possibly known,kirkinine D,[M+H]+,none
128,655.3468918,11.9,15300000.0,0.0,0.0,1816881.756,0.0,0.0,8674437.657,561473.5009,0.0,0.0,324806.0234,6916150.57,508670.7463,0.0,0.0,213020.6652,8975065.81,0.0,0.0,0.0,226533.1684,0.0,0.0,4574339.52,210000000.0,0.0,27300000.0,0.0,0.0,221371.0585,0.0,279974.3915,0.0,0.0,7218157.915,0.0,0.0,0.0,0.0,0.0,57700000.0,17400000.0,0.0,0.0,4432109.125,0.0,42700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0,D,C37H50O10,possibly known,"genkwanine F, yuanhuakine B, neogenkwanine C, neogenkwanine D, neogenkwanine E, neogenkwanine F, genkwanine B, kraussianin, linimacrin c, wikstroelide X",[M+H]+,none
140,631.2528127,7.9,0.0,0.0,0.0,4279908.502,0.0,0.0,0.0,0.0,0.0,0.0,48500000.0,0.0,0.0,1423720.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500868.258,0.0,0.0,1270549.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215932.642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0,D,C36H38O10,possibly known,altadaphnan A,[M+H]+,none
148,651.3158841,10.9,909944.4766,0.0,0.0,0.0,0.0,0.0,339700.5655,0.0,0.0,0.0,3685029.219,962348.0813,3254042.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219763.7811,0.0,0.0,2837368.909,0.0,0.0,1243430.902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348375.5333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0,D,C37H46O10,possibly undescribed,none,[M+H]+,none
151,617.2742351,9.6,76200000.0,293730.6199,0.0,15500000.0,5036092.432,2281855.805,8085462.603,10200000.0,3200193.241,0.0,37300000.0,21300000.0,0.0,955674.2771,0.0,0.0,0.0,0.0,0.0,0.0,9527106.89,0.0,0.0,3735298.465,0.0,0.0,102000000.0,0.0,0.0,0.0,0.0,0.0,6463882.729,0.0,240170.8275,0.0,0.0,0.0,0.0,0.0,14700000.0,0.0,15400000.0,0.0,4488515.587,0.0,325074.8925,0.0,210867.575,0.0,0.0,0.0,0.0,0.0,777245.292,0.0,22,0,D,C36H40O9,possibly known,acutilonine G,[M+H]+,none
160,719.3421021,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4088988.332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,D,C41H50O11,possibly undescribed,none,[M+H]+,none
162,637.3366462,11.0,2309543.914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,603266.0852,1240887.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3079827.251,0.0,0.0,25300000.0,0.0,0.0,0.0,0.0,0.0,484252.2417,0.0,455119.245,0.0,0.0,0.0,0.0,0.0,0.0,1001135.221,0.0,0.0,0.0,0.0,3259420.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,D,C37H48O9,possibly known,wikstroemia factor M1/M2,[M+H-H2O]+,"11809, 162"
177,487.2333088,4.4,0.0,1763859.111,520582.0003,0.0,2669912.889,0.0,11000000.0,521507.5503,5046160.412,0.0,0.0,13600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2273767.606,257569.9725,0.0,30900000.0,0.0,0.0,0.0,280982.4258,0.0,172435.2802,0.0,27000000.0,0.0,0.0,0.0,0.0,0.0,31000000.0,14700000.0,0.0,0.0,0.0,0.0,833364.9289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0,D,C27H34O8,possibly known,orthobenzoate 2,[M+H]+,"177, 6323"
181,577.2425232,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3445715.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,D,C33H36O9,possibly undescribed,none,[M+H]+,none
188,661.2998962,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3853386.24,0.0,0.0,112000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,D,C38H44O10,possibly undescribed,none,[M+H]+,none
209,643.2894287,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3723718.916,0.0,0.0,57000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,D,C38H42O9,possibly known,onishibarin B,[M+H]+,none
230,635.3209783,11.9,0.0,0.0,926235.8363,0.0,0.0,0.0,0.0,612141.1787,0.0,0.0,0.0,0.0,0.0,1983171.468,0.0,0.0,0.0,0.0,4082875.792,0.0,0.0,550234.3216,0.0,2514604.636,0.0,0.0,44400000.0,0.0,0.0,0.0,0.0,0.0,7442957.802,0.0,2522244.486,0.0,0.0,0.0,0.0,0.0,0.0,2105645.322,0.0,0.0,0.0,0.0,7300459.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0,D,C37H46O9,possibly known,acutilonine F,[M+H]+,none
258,647.2849507,10.5,0.0,0.0,184000000.0,1260000000.0,6164761.679,1611118.352,0.0,111000000.0,68600000.0,306076.6453,0.0,0.0,0.0,10000000.0,836386.4377,0.0,0.0,425207.9722,86800000.0,0.0,270000000.0,448947.0216,0.0,2488660.671,1240845.502,0.0,1136601.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208047.6321,0.0,0.0,0.0,0.0,734424.9921,0.0,0.0,0.0,214893.5201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0,D,C37H42O10,possibly undescribed,"(DA16)std_yuanhuajine isomer, (DA17)std_gniditrin isomer",[M+H-H2O]+,"2530, 258, 2630"
