row ID,row m/z,row retention time,20250417_fuzi_MeOH_1000ppm_ddms40.mzML Peak area
122,438.2842374,3.9742074,135714.2
123,342.1696223,4.004239,2425396.2
124,420.2735355,4.004239,49917.664
125,476.3057555,4.004239,116070.49
126,392.2785341,4.073768,222786.89
127,422.2890309,4.103864,2269565.8
128,438.2846969,4.1705837,124073.45
129,520.3325101,4.237535,77434.08
130,342.2421099,4.2683187,64488.508
131,466.2429425,4.3076625,762650.06
132,211.1437732,4.338102,116772.97
133,344.2577045,4.338102,523673.66
134,452.3000087,4.338102,155587.14
135,466.2796231,4.404532,45510.773
136,217.1067453,4.435444,188495.14
137,564.3584158,4.435444,71582.24
138,420.2371653,4.474823,292715.62
139,468.2949471,4.474823,62148.61
140,360.2525364,4.5054073,82420.12
141,332.2577293,4.536226,79919.23
142,452.2997369,4.605622,1182646.4
143,698.2828502,4.605622,23389.035
144,283.2123529,4.6447673,339315.84
145,356.2210702,4.6752505,106476.766
146,372.2162259,4.7135825,1455724
147,466.2429281,4.7135825,187608.47
148,331.137978,4.7440515,44083.105
149,366.175243,4.7440515,19151.865
150,576.2792323,4.7440515,71884.016
151,498.2842734,4.8095345,398810.72
152,163.1326106,4.8399177,155349.56
153,344.2577505,4.8399177,61731.54
154,453.342894,4.8399177,162354.97
155,434.2892849,4.9054646,192246.27
156,464.2998839,4.9054646,1132901.1
157,446.2526612,5.0042906,41994.645
158,560.2844185,5.0339985,79648.35
159,606.2893469,5.0339985,3951024
160,498.2844379,5.103047,212775.4
161,560.2851313,5.173345,16418.53
162,590.2957161,5.173345,21338.758
163,588.2797306,5.208779,24110.713
164,494.3110502,5.3396354,29881.09
165,590.2954495,5.3396354,56391.914
166,620.3063631,5.3396354,16920.76
167,494.310781,5.406316,75254.99
168,207.1587889,5.4365606,601670.7
169,224.1852123,5.4365606,206467.98
170,558.2690225,5.4365606,79257.83
171,588.2796218,5.4365606,27167.537
172,284.0575955,5.4735518,51412.73
173,538.2795533,5.4735518,22919.164
174,556.253525,5.5039916,87961.58
175,590.2949737,5.5341744,77846.58
176,620.3053196,5.5341744,1262158.5
177,574.3001547,5.5685444,56938.25
178,576.2791808,5.632462,43922.797
179,582.3267511,5.632462,22092.973
180,444.2742161,5.763902,72927.695
181,590.2943309,5.763902,4.12E+07
182,544.2886536,5.79991,217725.19
183,604.310922,5.8587837,42856.61
184,268.211418,5.8967104,62610.293
185,560.2844156,5.8967104,131254.11
186,574.3001276,5.8967104,48105.496
187,540.2948181,5.966269,693024.7
188,596.2481787,5.996819,52674.316
189,516.2591455,6.0275917,31169.344
190,241.2033501,6.094391,19828.203
191,480.207165,6.133916,16704.621
192,574.3003975,6.133916,229659.47
193,570.3391772,6.164701,65342.117
194,528.2942211,6.233932,90803.37
195,588.2790305,6.233932,43497.363
196,604.3099225,6.263165,1.15E+07
197,558.3051969,6.3312397,430321.53
198,528.2945329,6.3616796,32547.943
199,632.3055903,6.3616796,76496.055
200,590.2952067,6.4275765,15825.044
201,486.2836661,6.4664555,37859.754
202,536.3210931,6.4664555,41051.3
203,574.2995796,6.4956656,2.93E+07
204,588.3155237,6.5615973,96246.39
205,686.2284163,6.5911217,429023
206,572.2849996,6.6599507,337319.03
207,602.2951509,6.7611213,18096.06
208,648.3001101,6.7611213,214599.4
209,336.1221039,6.7998877,473347.75
210,646.320808,6.7998877,89773.71
211,550.242516,6.829687,219976.86
212,558.3049045,6.829687,2717264.2
213,646.3209172,6.8983326,60638.586
214,308.2213773,6.928567,474888.7
215,618.289828,6.928567,43480.125
216,658.2630898,6.928567,25278.861
217,542.3101306,6.9975553,83303.12
218,582.3049779,6.9975553,218931.48
219,588.3151376,6.9975553,6344950.5
220,630.3251117,7.0269847,18683.834
221,658.2627073,7.060475,162424.56
222,530.3102937,7.0902557,714613.1
223,500.2997829,7.1201525,588881.75
224,550.3366139,7.1201525,39079.04
225,542.3105743,7.1538963,56550.992
226,586.3005332,7.2198615,159625.02
227,530.3108628,7.250669,10034.287
228,632.3053833,7.281116,137204.4
229,542.3103566,7.3177505,635024.7
230,556.2896226,7.382436,631057.3
231,662.3158348,7.382436,200250.81
232,191.1638988,7.4424434,31128.363
233,304.0809132,7.4424434,494351.28
234,700.2740299,7.4424434,200659.56
235,422.3097977,7.4755883,11620.249
236,526.3161425,7.541683,47400.15
237,584.3215113,7.541683,72490.42
