row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,Unnamed: 7,D Score,MD Score,type
34,547.289856,8.32,24000000,DA33_pimelotide C (TDPE-4),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,,10,26,MD
35,895.3883972,10.15,8466765.443,DA55_stelleralide G (WIS-12),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)CCCCC5O)C14)O2,MD,,13,23,MD
36,669.3265381,5.51,1560000000,DA45_daphnepedunin D (TDPE-11),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCC(O)CC(C)C6C(C)C(=O)C(O)(C(O)C7(CO)OC7C3C1O5)C64)O2,MD,,32,20,MD
37,731.3989868,11.04,2340000000,DA47_edgeworthianin E (ECH-2),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C(C)C(=O)C6(O)C(O)C7(CO)OC7C(C1O3)C(O4)(C(COC(=O)C(C)C)C2OC(C)=O)C56,MD,,13,24,MD
38,659.3412933,10.92,2290000000,DA42_edgeworthianin A (ECH-3),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(C)C2OC(C)=O,MD,,8,12,MD
39,953.394165,8.95,238000000,DA56_daphneodorin A (DOSO-K),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)C(OC(=O)c3ccccc3)CCCC5O)C14)O2,MD,,39,22,MD
40,787.331604,10.94,16500000,DA53_daphnepedunin F (TDPE-39),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCC(OC(=O)c6ccccc6)CC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,,7,14,MD
41,667.3114014,10.68,8148135.142,DA44_daphnepedunin E (TDPE-28),C=C(C)C12CC(COC(=O)c3ccccc3)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,,8,24,MD
42,645.3621521,10.85,1310000000,DA40_edgeworthianin D (ECH-1),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C(C)C(=O)C6(O)C(O)C7(CO)OC7C(C1O3)C(O4)(C(C)C2OC(C)=O)C56,MD,,10,11,MD
43,549.3053894,5.39,32900000,DA36_daphnepedunin G (TDPE-41),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C(C(C)C(=O)O)C3C(=O)C(O)C3(CO)OC3C4C1O5)O2,MD,,8,19,MD
44,745.37937,11.65,1130000000,DA48_edgeworthianin B (ECH-4),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)C)C2OC(C)=O,MD,,6,10,MD
45,547.2891235,9.31,701000000,DA32_pimelotide A (NSC-7),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C6C3C3(OC6(C)OC3=O)C(O)C3(CO)OC3C4C1O5)O2,MD,,25,39,MD
46,779.3619995,12.13,760000000,DA52_edgeworthianin C (ECH-5),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)c1ccccc1)C2OC(C)=O,MD,,10,13,MD
47,703.3681641,10.24,89000000,DA46_edgeworthianin F (ECF-7),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)C)C2O,MD,,13,22,MD
48,759.394165,12.31,136000000,DA49_edgeworthianin G (ECH-6),C=C(C)C12OC34CCCC=CCCCCC(CCC)C5C6C7(OC5(C)OC7=O)C(O)C5(CO)OC5C(C1O3)C6(O4)C(COC(=O)C(C)CC)C2OC(C)=O,MD,,9,13,MD
