row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak
50,549.3053894,5.4,32900000,DA37_daphnepedunin H (TDPE-42),C=C(C)C12CC(C)C34OC5(CCCCCCCC(C)C(C(C)C(=O)O)C3C(=O)C(O)C3(CO)OC3C4C1O5)O2,MD,8,19,MD,C30H44O9,possibly known,"std_daphnepedunin A (DA35), std_daphnepedunin H (DA37), std_daphnepedunin B (DA34), std_daphnepedunin G (DA36)",[M+H]+,none
51,483.2007141,4.5,2810000000,DA01_daphnetoxin (DPSft-28),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,15,0,D,C27H30O8,possibly known,std_daphnetoxin (DA01),[M+H]+,none
52,603.2209473,6.7,2260000000,DA10_genkwadaphnin (DPSft-21),C=C(C)C12OC3(c4ccccc4)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)c1ccccc1,D,10,0,D,C34H34O10,possibly known,std_genkwadaphnin (DA10),[M+H]+,none
53,609.2678223,8.3,5380000000,DA12_genkwanine H (DPSft-2),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C(O)C(O)(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)CC14)O2,D,22,0,D,C34H40O10,possibly known,"yuanhuakine D, std_genkwanine H (DA12), onishibarin C, neogenkwanine G, genkwanine D, genkwanine VIII",[M+H]+,none
54,655.2536621,8.6,4360000000,DA20_mezereine (DPSft-16),C=C(C)C12OC3(c4ccccc4)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=CC=Cc1ccccc1,D,14,0,D,C38H38O10,possibly known,std_mezerein (DA20),[M+H]+,none
55,833.3741455,8,105000000,DA54_stelleralide F (DPSft-11),C=C(C)C12CC(COC(C)=O)C34OC5(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)C(C(C)CC(OC(=O)c3ccccc3)CCCCC5O)C14)O2,MD,25,26,MD,C46H56O14,possibly known,std_stelleralide F (DA54),[M+H]+,none
56,591.2587585,8.4,4030000000,DA08_genkwanine M (DPSft12),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)CC14)O2,D,6,0,D,C34H38O9,possibly known,"std_genkwanine N (DA07), std_genkwanine M (DA08)",[M+H]+,none
57,547.3265991,12.7,2880000000,DA05_daphnepedunin I (TDPE-60),C=C(C)C12CC(C)C34OC(CCCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C31H46O8,possibly known,std_daphnepedunin I (DA05),[M+H]+,none
58,591.2589569,8.8,206000000,DA07_genkwanine N (Dpsft15),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)CC14)O2,D,19,0,D,C34H38O9,possibly known,"std_genkwanine N (DA07), std_genkwanine M (DA08)",[M+H]+,none
59,603.3528,8.7,68400639.45,DA11_wikstroelide M (NSC-8),C=C(C)C1(O)CC(C)C2(O)C(C1OC(=O)C=CC=CCCCCCCCCC)C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC12,D,14,0,D,C34H50O9,possibly known,std_wikstroelide M (DA11),[M+H]+,"12, 59"
