row ID,row m/z,row retention time
113,457.2705579,17.48
113,457.2705579,17.52
114,293.2085541,15.21
114,293.2085541,15.22
115,293.2085888,15.1
115,293.2085888,15.06
116,293.2085576,14.51
116,293.2085576,14.54
117,293.2084475,15.43
117,293.2084475,15.48
118,343.33886,18.23
118,343.33886,18.27
119,299.1615787,13.52
120,343.338854,17.51
120,343.338854,17.48
121,393.2971833,17.25
122,457.271463,17.82
124,321.2398828,15.74
124,321.2398828,15.83
125,343.3388056,17.35
125,343.3388056,17.39
128,419.3149301,17.31
128,419.3149301,17.41
130,343.3387077,17.24
130,343.3387077,17.12
131,457.2708999,18.1
132,419.314339,17.56
133,457.2707604,21.23
133,457.2707604,21.25
137,393.2975013,17.46
139,359.2405599,20.42
139,359.2405599,20.4
140,619.5258135,20.69
140,619.5258135,20.75
141,359.2403716,19.84
143,359.2404476,18.91
144,343.3387064,16.74
145,406.3288682,16.84
145,406.3288682,17.04
148,336.3253907,15.64
148,336.3253907,15.71
149,321.2400117,15.99
149,321.2400117,16.04
152,293.2085564,13.59
152,293.2085564,13.74
153,537.5354961,18.65
153,537.5354961,18.8
155,321.2399397,14.84
155,321.2399397,14.93
156,615.5799163,20.49
156,615.5799163,20.55
158,615.5799831,20.62
158,615.5799831,20.75
161,321.2398755,14.51
161,321.2398755,14.53
162,455.3128438,18.5
164,455.3126211,17.19
165,455.3127872,21.3
166,321.2399309,16.54
168,321.239866,16.33
170,305.2085951,14.34
170,305.2085951,14.37
171,230.2478437,12.18
171,230.2478437,12.3
172,267.1566568,12.28
173,335.1253777,19.85
176,409.3278405,17.31
184,170.0962281,18.69
184,170.0962281,18.66
185,170.0960131,18.25
185,170.0960131,18.26
187,591.4945591,19.71
187,591.4945591,19.75
190,309.2037831,14.66
190,309.2037831,14.73
191,550.6284335,16.61
191,550.6284335,16.65
192,550.6279815,16.81
192,550.6279815,16.86
193,271.0598109,10.65
193,271.0598109,10.65
194,343.3388195,17.72
194,343.3388195,17.64
195,550.6280723,16.92
195,550.6280723,16.9
196,565.5667449,19.51
196,565.5667449,19.55
198,293.2085244,14.62
198,293.2085244,14.63
200,587.548623,19.51
200,587.548623,19.55
203,550.6280933,17.01
203,550.6280933,17.01
204,393.2973623,16.81
204,393.2973623,16.87
205,457.2708918,18.71
206,457.2708591,19.16
207,619.5264623,21.01
208,550.6277104,17.46
209,457.2709704,20.5
209,457.2709704,20.49
210,457.2715511,20.63
210,457.2715511,20.64
212,457.2715055,19.4
214,457.2715155,18.81
222,550.6279024,17.58
223,550.6278895,17.72
224,550.6279607,17.94
227,550.6279087,18.04
228,313.2734005,16.28
228,313.2734005,16.25
229,230.2478367,12.37
230,550.6279543,18.52
233,550.6280526,19
234,550.6280787,19.55
236,293.2086232,13.67
236,293.2086232,13.68
239,313.2733185,19.14
239,313.2733185,19.14
244,313.2735654,17.76
248,217.0680888,0.66
248,217.0680888,0.66
249,607.2905591,17.07
249,607.2905591,17.09
250,797.5160093,17.66
250,797.5160093,17.66
254,231.047336,0.71
254,231.047336,0.71
255,593.2750823,16.63
256,937.5842502,17.84
256,937.5842502,17.84
257,365.1045072,0.66
257,365.1045072,0.65
259,463.4479724,18.22
259,463.4479724,18.22
260,959.5689034,17.44
260,959.5689034,17.44
262,233.0627444,0.66
262,233.0627444,0.66
263,203.0523263,0.62
263,203.0523263,0.62
264,615.4945115,18.98
264,615.4945115,19.14
266,381.0790954,0.63
266,381.0790954,0.64
267,599.4271961,17.9
267,599.4271961,17.9
271,907.5328367,20.42
271,907.5328367,20.42
272,736.5324357,17.69
272,736.5324357,17.69
276,321.114906,0.72
276,321.114906,0.7
277,469.3652891,17.52
277,469.3652891,17.59
279,215.0524932,0.65
279,215.0524932,0.68
283,799.5315739,17.88
283,799.5315739,17.88
285,659.287058,15.82
285,659.287058,15.87
293,485.3601871,17.31
293,485.3601871,17.37
294,613.4789283,18.59
294,613.4789283,18.73
298,769.484841,17.39
298,769.484841,17.39
299,568.4267814,16.95
299,568.4267814,16.95
300,780.5499424,18.41
300,780.5499424,18.41
301,539.0962819,12.99
305,379.1199917,0.67
305,379.1199917,0.66
307,233.0420681,0.64
313,496.3392807,15.94
315,775.5315462,18.15
315,775.5315462,18.15
317,490.3682096,18.13
317,490.3682096,18.13
319,409.1832315,6.52
319,409.1832315,6.66
320,617.5102421,19.5
320,617.5102421,19.74
321,337.1100064,0.63
321,337.1100064,0.67
323,639.4941771,18.67
323,639.4941771,18.68
327,637.4788628,18.25
327,637.4788628,18.35
329,939.5995967,18.07
329,939.5995967,18.07
330,293.0992927,5.88
330,293.0992927,5.88
332,365.1207958,5.24
332,365.1207958,5.27
333,641.5101357,19.18
333,641.5101357,19.16
334,291.0863786,4.78
334,291.0863786,5.03
337,629.2730915,17
337,629.2730915,17.09
338,518.3212843,15.94
340,758.5681595,18.37
340,758.5681595,18.4
341,613.481815,17.59
341,613.481815,17.66
344,411.1467243,0.65
346,395.0947229,0.63
349,355.1722502,7.32
349,355.1722502,7.32
350,455.1151348,0.63
350,455.1151348,0.63
351,939.546781,15.91
351,939.546781,15.83
353,311.2187322,12.25
353,311.2187322,12.31
354,696.5399227,17.59
354,696.5399227,17.76
356,643.2523443,16.27
356,643.2523443,16.38
358,375.213435,11.06
358,375.213435,10.54
362,311.0989978,0.64
362,311.0989978,0.64
366,804.5496696,18.11
366,804.5496696,18.11
367,613.4819221,17.38
367,613.4819221,17.44
369,848.5371333,18.41
369,848.5371333,18.41
371,355.1723426,8.23
371,355.1723426,8.23
372,581.2351918,9.02
372,581.2351918,9.02
374,377.2659687,15.94
374,377.2659687,16.04
378,539.0961948,11.88
381,778.5345048,18.13
382,551.4246981,16.93
382,551.4246981,16.93
383,231.0833145,0.69
384,643.5257571,19.68
384,643.5257571,19.73
386,362.0960457,0.66
386,362.0960457,0.65
387,319.0449134,7.84
387,319.0449134,7.59
388,885.5511046,20.43
388,885.5511046,20.43
390,288.0780856,0.64
390,288.0780856,0.64
396,579.4587706,17.23
396,579.4587706,17.33
398,445.2037557,10.19
398,445.2037557,10.19
402,310.0912686,0.65
402,310.0912686,0.67
404,782.5678172,18.1
404,782.5678172,18.1
405,395.2032665,9.05
405,395.2032665,9.14
406,637.3052238,15.82
406,637.3052238,15.87
410,777.5477456,18.46
410,777.5477456,18.38
411,439.1416224,0.63
411,439.1416224,0.65
412,641.5097453,18.99
412,641.5097453,19.37
415,801.5471426,18.15
415,801.5471426,18.15
416,355.1718967,8.14
416,355.1718967,8.05
417,643.5262962,19.98
417,643.5262962,19.97
419,756.5526841,18.09
419,756.5526841,18.13
420,961.583405,17.64
420,961.583405,17.64
421,462.3371168,17.7
421,462.3371168,17.7
422,907.3492507,16.66
422,907.3492507,16.7
424,635.4636449,17.99
425,307.0809818,1.87
425,307.0809818,1.88
426,521.2716775,11.01
427,471.0898845,8.74
427,471.0898845,8.84
428,376.318576,15.63
428,376.318576,15.6
430,591.4971734,17.84
430,591.4971734,17.84
433,349.1097444,0.69
434,335.0944457,0.65
434,335.0944457,0.67
435,147.0438421,4.53
435,147.0438421,4.38
436,663.4942974,18.49
436,663.4942974,18.52
441,429.3723031,17.51
441,429.3723031,17.59
442,355.1722611,10.01
442,355.1722611,10.01
445,806.5074593,17.09
445,806.5074593,17.12
446,823.5316223,17.76
446,823.5316223,17.78
448,330.2768074,16.37
448,330.2768074,16.45
450,313.0675359,6.18
450,313.0675359,6.18
453,487.0837972,7.67
453,487.0837972,8.08
458,317.2086602,14.29
460,965.6149556,18.24
460,965.6149556,18.24
462,731.4329431,16.28
462,731.4329431,16.28
463,665.5097854,18.74
463,665.5097854,18.87
464,597.2307198,8
464,597.2307198,8.17
465,771.5006436,17.59
465,771.5006436,17.59
466,534.4875877,17.59
466,534.4875877,17.66
469,392.313421,15.64
469,392.313421,15.73
472,925.5312674,16.14
472,925.5312674,16.14
475,493.4224135,18.65
479,639.4943476,18.56
479,639.4943476,18.93
480,813.5116552,16.77
480,813.5116552,16.84
481,806.5657879,18.57
481,806.5657879,18.57
484,568.426058,17.35
484,568.426058,17.35
485,355.1719702,9.53
485,355.1719702,9.48
487,375.2500735,15.65
487,375.2500735,15.66
489,653.453118,16.95
489,653.453118,16.95
491,829.5050353,16.8
491,829.5050353,16.82
492,445.2045052,10.07
496,806.5651571,18.41
496,806.5651571,18.41
498,116.9857304,8.84
498,116.9857304,8.81
500,379.2812792,16.34
500,379.2812792,16.34
501,367.1355901,5.6
501,367.1355901,5.61
502,479.4429448,17.04
502,479.4429448,17.05
503,872.5369493,18.1
503,872.5369493,18.1
504,291.085643,6.18
504,291.085643,6.18
505,846.5218604,18.12
505,846.5218604,18.13
509,319.2242249,14.7
509,319.2242249,14.72
513,782.5657717,18.82
513,782.5657717,18.82
514,399.1252883,0.84
514,399.1252883,0.83
515,315.1928797,14.54
515,315.1928797,14.6
516,461.4319845,18.28
516,461.4319845,18.44
518,441.1731494,6.09
518,441.1731494,6.31
519,357.2036801,12.55
519,357.2036801,12.44
528,333.2033765,13.39
528,333.2033765,13.39
530,356.2923773,16.59
530,356.2923773,16.66
531,452.3618097,18.11
531,452.3618097,18.11
533,355.1719549,8.37
533,355.1719549,8.37
534,553.1116407,13.5
534,553.1116407,13.43
537,435.3588216,18.71
540,445.3664303,17.37
541,479.4425222,17.9
541,479.4425222,17.99
544,547.21443,7.47
544,547.21443,7.48
545,477.3906181,17.75
545,477.3906181,17.8
549,963.5999498,17.85
549,963.5999498,17.85
550,411.1991599,7.39
550,411.1991599,7.37
553,953.5781446,17.04
553,953.5781446,17.04
555,468.3863089,18.13
555,468.3863089,18.13
557,743.4326461,16.34
557,743.4326461,16.34
558,475.4476389,20.11
558,475.4476389,20.13
559,784.5829889,18.56
559,784.5829889,18.66
560,597.4113361,17.61
561,383.1313187,1.13
561,383.1313187,1.09
564,365.1199399,6.33
567,931.5928904,20.01
567,931.5928904,20.01
568,1057.729743,20.27
568,1057.729743,20.27
570,773.5159936,17.79
570,773.5159936,17.79
571,779.5633146,18.85
571,779.5633146,18.85
573,760.5839339,18.82
573,760.5839339,18.82
574,325.23455,14.54
574,325.23455,14.54
576,716.521246,18.34
576,716.521246,18.34
577,376.3187217,15.97
577,376.3187217,16.05
578,850.5530538,18.82
578,850.5530538,18.82
580,375.2162114,12.02
580,375.2162114,12.02
588,518.3237287,15.15
588,518.3237287,15.16
590,315.1931867,14.22
590,315.1931867,14.22
592,421.2322235,14.51
594,450.3187745,15.69
594,450.3187745,15.7
595,830.5655355,18.24
595,830.5655355,18.24
599,297.2396661,15.72
599,297.2396661,15.73
606,784.5838109,18.41
606,784.5838109,18.41
609,349.0890203,5.6
609,349.0890203,5.6
610,903.5609344,19.69
610,903.5609344,19.59
612,471.2194208,10.58
612,471.2194208,10.56
613,619.2759609,10.42
616,874.5524944,18.41
616,874.5524944,18.41
618,488.2708436,17.39
618,488.2708436,17.44
620,231.083845,0.69
620,231.083845,0.93
621,311.0518295,4.84
621,311.0518295,4.84
622,778.5373476,17.58
622,778.5373476,18.02
623,355.1723415,10.27
623,355.1723415,10.27
625,808.5830988,18.22
625,808.5830988,18.22
627,319.2242541,15.14
627,319.2242541,15.16
628,903.5609285,19.48
628,903.5609285,19.43
633,307.0809502,4.84
633,307.0809502,4.84
635,543.1826238,7.89
635,543.1826238,8
638,376.3186687,16.13
638,376.3186687,16.22
643,808.5811466,18.82
643,808.5811466,18.82
644,409.1825002,6.73
652,317.2085734,14.65
653,941.6148999,18.4
653,941.6148999,18.4
655,931.5927552,20.27
655,931.5927552,20.27
657,545.1993973,7.32
657,545.1993973,7.3
658,667.5256337,19.2
658,667.5256337,19.38
663,375.213868,14.26
663,375.213868,14.26
670,549.1933476,7.06
674,319.2242414,14.63
676,359.2183632,11.42
678,445.3672217,18.12
679,333.203394,14.24
679,333.203394,14.31
680,383.1311819,2.22
680,383.1311819,2.22
682,319.0449734,7.66
682,319.0449734,7.46
683,808.5812936,19.01
683,808.5812936,19.01
684,303.0492273,8.58
684,303.0492273,8.36
685,551.4243632,17.3
685,551.4243632,17.47
686,543.1826711,8.25
686,543.1826711,8.28
695,887.5654108,20.66
699,567.1280084,14.23
699,567.1280084,14.23
700,337.2346798,15.72
700,337.2346798,15.88
702,359.2185084,11.16
704,359.2191956,11.61
705,591.4973577,18.58
705,591.4973577,18.75
706,953.5749748,20.02
706,953.5749748,20.02
708,479.4428815,17.76
708,479.4428815,17.76
711,309.2035024,12.23
711,309.2035024,12.23
719,859.6041486,17.39
721,359.2403268,17.6
722,303.0497141,9.21
722,303.0497141,9.21
723,505.4218677,18.15
723,505.4218677,18.15
727,359.2193218,10.16
728,359.2403552,20.54
728,359.2403552,20.55
731,304.2601052,16.2
731,304.2601052,16.37
732,359.2404325,17.78
736,419.3131431,17.07
736,419.3131431,16.57
737,359.2404582,18.38
739,359.2404474,18.19
745,429.372057,18.12
745,429.372057,18.12
750,337.2347804,16.02
750,337.2347804,16.05
752,445.3675119,17.36
752,445.3675119,17.48
760,411.1990955,6.54
761,299.1619477,11.74
763,411.1990598,8.45
763,411.1990598,8.34
764,903.5609956,18.08
764,903.5609956,18.08
768,479.4427634,17.84
768,479.4427634,17.84
769,653.4534777,18.25
770,333.2034722,13.05
770,333.2034722,13.07
772,287.0545712,9.98
774,479.4429601,16.9
774,479.4429601,16.9
775,887.5662694,20.89
775,887.5662694,20.96
783,965.6155269,18.13
784,953.575897,20.27
784,953.575897,20.27
790,549.1941768,6.67
799,239.1618692,12.83
803,383.1300341,4.84
803,383.1300341,4.9
804,267.1566188,12.13
810,923.5142316,15.57
810,923.5142316,15.57
812,333.2034228,12.66
816,450.3187403,15.98
820,505.2767591,11.97
820,505.2767591,11.97
821,411.1985918,8.54
821,411.1985918,8.57
823,923.5051434,20.44
823,923.5051434,20.44
825,505.276023,12.99
825,505.276023,13.11
828,319.2242456,13.2
829,567.1279971,13.58
829,567.1279971,13.58
830,549.192933,6.38
830,549.192933,6.33
831,505.2769441,11.15
831,505.2769441,11.15
832,435.3598451,18.73
842,661.4791182,18.2
842,661.4791182,18.21
845,553.1116255,12.52
845,553.1116255,12.37
847,595.4689684,19.57
847,595.4689684,19.57
854,525.3907547,17.26
854,525.3907547,17.26
855,887.5662385,19.91
858,351.1410757,7.06
858,351.1410757,7.06
859,339.1047732,6.35
859,339.1047732,6.35
860,675.2614297,10.65
860,675.2614297,10.65
861,491.44293,18.67
861,491.44293,18.67
862,427.3177638,17.29
862,427.3177638,17.29
863,147.04383,6.24
863,147.04383,6.24
864,337.125037,5.94
864,337.125037,6.07
865,367.1355008,6.2
865,367.1355008,6.2
866,585.4504003,17.39
866,585.4504003,17.39
867,417.2244127,13.19
867,417.2244127,13.19
868,413.1111601,7.02
868,413.1111601,7.02
869,381.1516873,7.37
869,381.1516873,7.37
870,633.1413042,8.14
870,633.1413042,8.36
871,317.1744659,12.02
871,317.1744659,12.02
872,315.1951617,10.55
872,315.1951617,10.55
873,513.1938403,7.3
873,513.1938403,7.3
874,377.2319136,13.2
874,377.2319136,13.2
875,563.2091568,7.17
875,563.2091568,7.17
876,931.5371422,17.19
876,931.5371422,17.19
877,303.0492236,8.2
877,303.0492236,8.2
878,433.112501,8.67
878,433.112501,8.67
879,147.0439469,1.16
879,147.0439469,1.16
880,555.4376814,18.71
880,555.4376814,18.71
881,1029.698541,19.59
881,1029.698541,19.59
882,357.2036379,12.39
882,357.2036379,12.02
883,303.110184,0.64
883,303.110184,0.64
884,215.0159166,0.85
884,215.0159166,0.83
885,699.3553592,14.84
885,699.3553592,14.78
886,455.0940246,8.49
886,455.0940246,8.81
887,349.1250197,5.78
887,349.1250197,5.89
888,617.1467046,8.85
888,617.1467046,8.85
889,537.3030128,15
889,537.3030128,15.1
890,505.458581,19.29
890,505.458581,19.29
891,505.4585959,19.92
891,505.4585959,19.92
892,501.3547665,16.07
892,501.3547665,16.07
893,449.177926,7.82
893,449.177926,7.82
894,935.5689377,17.55
894,935.5689377,17.55
895,611.463874,18.34
895,611.463874,18.31
896,505.4585104,18.77
896,505.4585104,18.77
897,334.0625257,8.21
897,334.0625257,8.21
898,403.2810242,16.21
898,403.2810242,16.28
899,287.0547108,8.85
899,287.0547108,8.85
900,575.5030229,19.14
900,575.5030229,19.14
901,435.4164977,17.71
902,786.5995746,18.82
902,786.5995746,18.82
903,611.1593119,8.2
903,611.1593119,8.37
904,537.3033842,15
904,537.3033842,15.25
905,513.1937223,5.85
905,513.1937223,5.85
906,369.2611604,13.89
906,369.2611604,14
907,337.105336,12.71
907,337.105336,12.71
908,825.5469079,17.98
908,825.5469079,17.99
909,401.2659563,15.85
909,401.2659563,15.84
910,417.2265871,12.04
910,417.2265871,12.04
911,615.1388027,17.97
911,615.1388027,17.97
912,591.4981738,17.84
912,591.4981738,18.31
913,813.489221,17.6
913,813.489221,17.67
914,689.1575681,18.21
914,689.1575681,18.29
915,335.1094405,5.87
915,335.1094405,5.87
916,610.1840475,17.97
916,610.1840475,17.97
917,525.4183775,18.21
917,525.4183775,18.22
918,553.1118021,13.67
918,553.1118021,13.67
919,1059.745932,21
919,1059.745932,21
920,271.0596493,8.67
920,271.0596493,8.67
921,293.2838197,16.74
921,293.2838197,16.81
922,397.3823827,17.88
923,459.4162409,20.36
923,459.4162409,20.39
924,985.5833966,17.53
924,985.5833966,17.53
