row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,C10 loss,C10 loss_ion_pair,C10 loss_intensity_pair,C10 loss_score,C11 loss,C11 loss_ion_pair,C11 loss_intensity_pair,C11 loss_score,C9 loss,C9 loss_ion_pair,C9 loss_intensity_pair,C9 loss_score,C3 loss,C3 loss_ion_pair,C3 loss_intensity_pair,C3 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C7 loss,C7 loss_ion_pair,C7 loss_intensity_pair,C7 loss_score
42384,561.2332,8.8,0.0,0.0,0.0,0.0,0.0,0.0,51281.33,133576.55,0.0,0.0,0.0,0.0,23,0,D,C29H36O11,possibly known,genkwanine L,[M+H]+,none,C10H10O4,C27H28O7 / C17H18O3,2900.0 / 10000.0,0.0307,none,none,none,none,C9H8O3,C29H34O10 / C20H26O7,3700.0 / 3500.0,0.0341,C3H4O2,C20H22O5 / C17H18O3,25000.0 / 10000.0,0.0942,C2H4O2,C22H28O8 / C20H24O6,1800.0 / 17000.0,0.0359,C7H6O2,C27H28O7 / C20H22O5,2900.0 / 25000.0,0.054
42505,505.2433,8.8,0.0,0.0,0.0,0.0,0.0,0.0,57024.34,207036.84,0.0,0.0,0.0,0.0,20,0,D,C27H36O9,possibly known,"genkwanine O, neogenkwanine A, neogenkwanine B, neogenkwanine H, genkwanine A, neogenkwanine I",[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,31000.0 / 36000.0,0.2915,none,none,none,none,none,none,none,none
43955,561.2332,9.1,0.0,0.0,0.0,0.0,0.0,0.0,23104.7,74156.76,0.0,0.0,0.0,0.0,21,0,D,C29H36O11,possibly known,genkwanine L,[M+H]+,none,C10H10O4,C27H26O6 / C17H16O2,2500.0 / 4100.0,0.0222,none,none,none,none,none,none,none,none,C3H4O2,C20H22O5 / C17H18O3,13000.0 / 4600.0,0.045,C2H4O2,C22H30O9 / C20H26O7,4500.0 / 3500.0,0.032,C7H6O2,C29H36O11 / C22H30O9,16000.0 / 4500.0,0.0483
44056,609.2695,9.2,0.0,0.0,0.0,0.0,0.0,0.0,8266.385,50683.32,0.0,0.0,0.0,0.0,15,0,D,C34H40O10,possibly undescribed,(DA12)std_genkwanine H isomer,[M+H]+,none,C10H10O4,C27H30O6 / C17H20O2,3600.0 / 2200.0,0.0196,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,3300.0 / 2200.0,0.0196,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,3600.0 / 3300.0,0.0317
44081,505.2433,9.2,0.0,0.0,0.0,0.0,0.0,0.0,278153.0,1620485.2,0.0,0.0,0.0,0.0,26,0,D,C27H36O9,possibly known,"genkwanine O, neogenkwanine A, neogenkwanine B, neogenkwanine H, genkwanine A, neogenkwanine I",[M+H]+,none,C10H10O4,C27H30O6 / C17H20O2,8100.0 / 230000.0,0.4157,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,120000.0 / 230000.0,1.0746,none,none,none,none,C7H6O2,C27H36O9 / C20H30O7,400000.0 / 4000.0,0.6823
44759,487.2326,9.4,0.0,0.0,0.0,0.0,0.0,0.0,715387.6,2554206.2,0.0,0.0,0.0,0.0,20,0,D,C27H34O8,possibly known,orthobenzoate 2,[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,74000.0 / 270000.0,0.8039,none,none,none,none,none,none,none,none
44789,605.2959,9.4,0.0,0.0,0.0,0.0,0.0,0.0,11504.392,46745.54,0.0,0.0,0.0,0.0,17,0,D,C32H44O11,possibly known,"tianchaterpene A, genkwadane I, pimelotide B, pimelotide D",[M+H]+,none,none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,8100.0 / 10000.0,0.0748,C2H4O2,C22H24O7 / C20H20O5,1500.0 / 8100.0,0.0202,none,none,none,none
44802,541.207,9.4,0.0,0.0,0.0,0.0,0.0,0.0,62008.31,306337.8,0.0,0.0,0.0,0.0,15,0,D,C29H32O10,possibly known,"yuanhuakine E, yuanhuafine, yuanhuaoate F",[M+H]+,none,C10H10O4,C27H26O7 / C17H16O3,2800.0 / 29000.0,0.06,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,22000.0 / 29000.0,0.2001,C2H4O2,C22H20O5 / C20H16O3,5800.0 / 10000.0,0.0516,C7H6O2,C27H24O6 / C20H18O4,1900.0 / 41000.0,0.076
45127,543.2225,9.6,0.0,0.0,0.0,0.0,0.0,0.0,457602.56,1604941.5,0.0,0.0,0.0,0.0,22,0,D,C29H34O10,possibly known,yuanhuapine,[M+H]+,none,C10H10O4,C27H28O7 / C17H18O3,17000.0 / 91000.0,0.2278,none,none,none,none,none,none,none,none,C3H4O2,C20H22O5 / C17H18O3,130000.0 / 91000.0,0.8167,C2H4O2,C22H24O6 / C20H20O4,8200.0 / 160000.0,0.2998,C7H6O2,C27H26O6 / C20H20O4,17000.0 / 160000.0,0.3383
45341,591.259,9.7,0.0,0.0,0.0,0.0,0.0,0.0,5684.752,43775.62,0.0,0.0,0.0,0.0,19,0,D,C34H38O9,possibly undescribed,"(DA08)std_genkwanine M isomer, (DA07)std_genkwanine N isomer",[M+H]+,none,C10H10O4,C27H32O7 / C17H22O3,3000.0 / 3100.0,0.0295,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,7700.0 / 5800.0,0.0527,none,none,none,none,C7H6O2,C27H28O5 / C20H22O3,1600.0 / 14000.0,0.0301
