row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak
50239,591.2590454,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550480.5,0.0,0.0,0.0,0.0,20,0,D,C34H38O9,possibly undescribed,"(DA08)std_genkwanine M isomer, (DA07)std_genkwanine N isomer",[M+H]+,none
50688,587.2852198,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,794129.4,0.0,0.0,0.0,0.0,16,0,D,C32H42O10,possibly known,"yuanhuadine (yuanhuadin, synaptolepis factor K4), isoyuanhuadine (isoyuanhuadin), yuanhuamine A, tianchaterpene D",[M+H]+,none
51303,601.3010462,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58597.0,0.0,0.0,0.0,0.0,13,0,D,C33H44O10,possibly known,yuanhuahine,[M+H]+,none
51371,409.3101631,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37771.953,88038.35,9,0,D,C28H40O2,possibly undescribed,none,[M+H]+,none
51510,637.3375112,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38191.305,0.0,0.0,0.0,0.0,6,0,D,C37H48O9,possibly known,wikstroemia factor M1/M2,[M+H]+,none
51668,647.2853932,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51548.234,0.0,0.0,0.0,0.0,8,0,D,C37H42O10,possibly undescribed,"(DA16)std_yuanhuajine isomer, (DA17)std_gniditrin isomer",[M+H]+,none
51751,615.3166439,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27303.006,0.0,0.0,0.0,0.0,9,0,D,C34H46O10,possibly undescribed,(DA13)std_wikstroelide H isomer,[M+H]+,none
51841,615.3166378,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53191.816,0.0,0.0,0.0,0.0,13,0,D,C34H46O10,possibly undescribed,(DA13)std_wikstroelide H isomer,[M+H]+,none
51890,653.3324394,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60861.62,0.0,0.0,0.0,0.0,18,0,D,C37H48O10,possibly undescribed,(DA19)std_daphneodorin H isomer,[M+H]+,none
51900,649.300952,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36095.67,0.0,0.0,0.0,0.0,13,0,D,C37H44O10,possibly undescribed,(DA18)std_yuanhuacine isomer,[M+H]+,none
