row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area
1347,302.1962378,0.43554413,0,0,0,0,0,0,0,0,0,37023.023,52723.316,42590.945
1448,174.0760839,0.443911,0,0,0,0,0,0,344196.94,316129.4,50322.477,13909.881,0,7016.4614
1494,232.0815469,0.45349053,0,0,0,0,0,0,369766.97,294217.6,27968.932,0,0,0
1495,128.0219707,0.4536487,0,0,0,0,0,0,72620.33,54390.617,0,121492.35,0,7842.9365
1521,167.4865959,0.45881367,0,1316242.5,1289379.6,2148839.8,3009202,4600821.5,0,0,0,0,0,0
1581,342.1395814,0.4662913,0,0,0,0,0,0,838567.6,0,15725.522,0,0,0
1582,184.0629671,0.4665931,0,0,0,0,0,0,762365.25,776998.25,83146.18,9308.25,0,0
1620,214.917594,0.47004724,0,0,0,0,0,0,0,0,0,0,177940.6,129684.48
1681,252.9185544,0.4789237,0,0,0,0,0,0,62666.15,50475.363,0,49519.08,0,0
1684,179.9906475,0.47984326,0,0,0,0,0,0,138661.12,107366.11,0,164379.52,0,20542.783
1708,113.9636408,0.48251763,0,0,0,0,0,0,0,0,0,0,1556076.9,0
1721,182.9023297,0.48425254,0,0,0,0,0,0,32919.68,0,23735.602,216716.7,72919.11,106485.766
1725,195.9682166,0.48605812,0,0,0,0,0,0,87867.83,75137.03,0,119726.984,0,0
1750,177.957663,0.49023438,0,0,0,0,0,0,247314.5,205677.58,0,288112,0,73958.97
1766,154.9416884,0.49417764,0,0,0,0,0,0,123397.39,119460.25,0,206027.89,0,38555.17
1870,120.0254596,0.5151367,0,0,0,0,0,0,0,0,160408.8,0,0,0
1937,319.1500952,0.5214839,0,0,0,0,0,0,178363.98,129385.69,0,0,0,0
1939,381.0794453,0.5214839,0,0,0,0,0,0,100134.09,86358.76,0,0,0,0
1944,110.0098479,0.5218351,0,0,0,0,0,0,59609.38,17426.664,0,197222.2,0,0
1960,162.0761024,0.5230119,0,0,0,0,0,0,396418.6,264935.12,100884.97,0,0,0
1974,182.0577417,0.52523035,0,0,0,0,0,0,0,0,0,114577.01,7701.505,23556.045
1977,156.0421351,0.52595025,0,0,0,0,0,0,28136.783,22447.496,41232.836,126913.88,21369.709,31121.164
1983,267.0388048,0.526068,0,0,0,0,0,0,0,0,216070.7,0,0,0
1994,104.1075137,0.5280449,0,0,0,0,0,0,4810242.5,3659798.2,10480.342,271585.6,100325.33,134709.34
1999,203.0526037,0.5301283,0,0,0,0,0,0,124892.4,125805.29,81458.266,0,0,0
2001,159.0131332,0.5308684,0,0,0,0,7639.2593,0,0,0,51403.11,55750.24,92930.88,82230.05
2010,342.9970496,0.53298986,0,0,104193.54,0,0,0,0,0,0,0,0,5725.1406
2029,193.9299807,0.53904206,0,0,0,0,0,0,62502.598,95820.76,0,145582.23,0,35931.56
2033,140.068832,0.54008776,0,0,0,0,0,0,18246.902,33790.88,236571.08,65000.402,30746.223,31989.682
2036,185.0664455,0.54196477,0,294857.38,290479.72,285123.2,381713.47,378227.66,0,0,0,0,0,0
2045,126.9714753,0.54456484,0,0,0,0,0,0,33666.176,53936.953,252483.64,260054.56,354275.8,313235.53
2058,146.0924167,0.5476671,0,0,0,0,0,0,129035.82,111526.85,29417.715,63486.996,5645.5396,20576.785
2062,114.9714556,0.5478953,0,0,0,0,0,0,0,0,93014.87,155660.97,345477.94,487717.88
2063,128.9507472,0.5478953,0,0,0,0,0,0,0,0,410548.12,352113.72,598456.56,369482.88
2067,142.9664469,0.54937154,0,0,0,0,0,0,0,28782.246,141170.62,135332.89,203923.55,179769.19
2073,319.0006308,0.5525635,0,0,0,0,2752532,0,0,0,0,0,0,0
2147,180.087136,0.5616134,0,0,0,0,0,0,137424.39,28587.28,33010.992,0,0,0
2150,130.049897,0.5621641,0,0,0,0,0,0,1157691,1112585.6,404108.62,0,0,0
2157,262.1285368,0.5621641,0,0,0,0,0,0,316232.97,222016.9,223634.39,0,0,0
2162,289.1394805,0.5621641,0,0,0,0,0,0,323658.1,274835.16,40857.367,0,0,0
2163,294.1548265,0.5621641,0,0,0,0,0,0,964231.8,774259.4,660383.44,0,0,0
2249,172.976965,0.5636956,0,0,0,0,0,0,45488.984,54263.883,206825.75,189975.69,347263.8,247143.03
2252,122.0235655,0.56420505,0,0,0,0,0,0,113072.44,90053.27,0,0,0,0
2343,136.9311078,0.56508476,0,0,0,0,0,0,190043.6,154040.67,0,388964.97,0,59161.94
2344,314.0917742,0.5651177,0,0,0,0,0,0,35082.992,59578.67,235553.1,12787.158,0,3155.8572
2353,108.0442928,0.56561667,0,0,0,0,0,0,228921.86,229779.95,5251.233,0,0,0
2356,137.0457947,0.56561804,0,0,0,0,0,0,371324.22,168801.25,99097.16,0,0,0
2396,274.0922934,0.56561804,0,0,0,0,0,0,407625.34,337744.1,30960.633,0,0,0
2399,276.1442195,0.56561893,0,0,0,0,0,0,1960437.9,1551933.4,1328195.6,0,0,0
2419,152.0567248,0.5662061,0,0,0,0,0,0,648196.3,298584.44,56574.707,16391.57,0,0
2422,268.1040672,0.5662061,0,0,0,0,0,0,2153984.8,1583373.6,564090.8,56016.098,0,0
2426,130.0862591,0.56662804,0,0,0,0,0,0,0,363122.84,183741.53,0,0,0
2439,136.0617777,0.5682554,0,0,0,0,0,0,670801.5,435931.25,549886.56,23308.957,18306.518,23467.365
2530,152.1070434,0.56938386,0,0,0,0,0,0,2467425.8,3454202,0,0,0,0
2600,136.0756774,0.5701247,0,0,0,0,0,0,92549.836,0,183133.31,8760.575,0,0
2601,202.1801415,0.5703955,0,0,0,0,0,0,77127.36,81949.4,60402.586,148509.23,157659.06,150503.97
2606,165.0546352,0.5713859,0,0,0,0,0,0,117728.68,98218.92,266559.1,10012.11,0,0
2608,182.0811606,0.5713859,0,0,0,0,0,0,448828.5,348805.34,403311.25,15798.4795,0,0
