row ID,row m/z,row retention time,CUP_MeOH,PC_MeOH,AFI_MeOH,CUPI_MeOH,CUP_EtOAc,PC_EtOAc,Limonoid Score,type,elemental composition,adduct ion,same peak,CO2 loss,CO2 loss_ion_pair,CO2 loss_intensity_pair,CO2 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,identification,same composition
1619,463.3052,12.8,51420.547,72408.195,61584.043,67621.33,69447.25,97347.61,12,Limonoid,C27H42O6,[M+H]+,none,CH2O2,C26H40O4 / C25H38O2,6200.0 / 4300.0,0.0385,C2H4O2,C26H40O4 / C24H36O2,6200.0 / 5500.0,0.0522,possibly undescribed,none
1825,516.3889,14.6,0,0,0,0,0,259288.94,12,Limonoid,C28H53O7N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2030,498.3784,16.6,0,39645.664,0,0,0,500245.78,12,Limonoid,C28H51O6N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2050,435.3459,16.8,0,35169.707,0,0,12162.543,167439.33,12,Limonoid,C27H46O4,[M+H]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2065,417.3678,16.8,197683.97,239471.3,335943.4,182045.44,177618.92,131980.61,12,Limonoid,C23H28O7,[M+H]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2076,490.3733,17,83345.766,144642.22,67383.4,90029.484,0,62675.977,12,Limonoid,C26H51O7N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2092,457.3278,17,31789.63,15626.243,35548.14,24611.496,103179.44,24098.686,12,Limonoid,C29H45O4,[M+H]+,none,CH2O2,C25H34O1 / C24H32O3,6600.0 / 8000.0,0.0613,none,none,none,none,possibly undescribed,none
2092,457.3278,17,31789.63,15626.243,35548.14,24611.496,103179.44,24098.686,12,Limonoid,C29H45O4,[M+H]+,none,CH6O2,C26H40O3 / C25H34O1,2700.0 / 6600.0,0.0253,none,none,none,none,possibly undescribed,none
2245,582.4057,18.6,0,0,0,0,226674,0,12,Limonoid,C25H59O13N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2253,550.6278,18.7,0,695179.06,0,619112.9,0,557230.75,12,Limonoid,C38H79N,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2299,442.3668,19.3,116415.93,74565.15,56822.53,80662.37,68744.875,63317.555,12,Limonoid,C29H47O2N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2300,456.3464,19.3,165259.2,102704.125,109459.65,119279.26,103226.375,105296.945,12,Limonoid,C29H45O3N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
1325,487.2319,10.8,0,0,0,0,0,224352.73,13,Limonoid,C27H34O8,[M+H]+,"1324, 1325",CH6O2,C26H32O6 / C25H26O4,27000.0 / 22000.0,0.2035,C2H4O2,C26H30O5 / C24H26O3,66000.0 / 13000.0,0.1687,possibly undescribed,none
1325,487.2319,10.8,0,0,0,0,0,224352.73,13,Limonoid,C27H34O8,[M+H]+,"1324, 1325",CH4O2,C26H30O5 / C25H26O3,66000.0 / 14000.0,0.1739,C2H4O2,C26H30O5 / C24H26O3,66000.0 / 13000.0,0.1687,possibly undescribed,none
2100,423.3978,17.2,355420.34,0,0,0,0,0,13,Limonoid,C31H50,[M+H]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2119,514.4099,17.3,0,0,0,0,0,188553.31,13,Limonoid,C29H55O6N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
2242,622.5034,18.6,0,0,0,0,58280.6,103900.28,13,Limonoid,C37H67O6N1,[M+NH4]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
724,505.206,6.6,0,0,0,0,0,54550.35,14,Limonoid,C26H32O10,[M+H]+,none,CH2O2,C25H26O6 / C24H28O8,5700.0 / 13000.0,0.0525,C2H4O2,C26H32O10 / C24H28O8,9100.0 / 13000.0,0.0817,possibly undescribed,none
724,505.206,6.6,0,0,0,0,0,54550.35,14,Limonoid,C26H32O10,[M+H]+,none,CH0O2,C25H28O6 / C24H28O8,4500.0 / 13000.0,0.0444,C2H4O2,C26H32O10 / C24H28O8,9100.0 / 13000.0,0.0817,possibly undescribed,none
772,584.2697,6.9,0,0,0,58321.35,0,34590.332,14,Limonoid,C28H41O12N1,[M+NH4]+,none,CH2O2,C24H28O9 / C23H26O7,16000.0 / 13000.0,0.1201,C2H4O2,C26H32O9 / C24H28O7,17000.0 / 15000.0,0.1422,possibly undescribed,none
772,584.2697,6.9,0,0,0,58321.35,0,34590.332,14,Limonoid,C28H41O12N1,[M+NH4]+,none,CH0O2,C24H28O8 / C23H28O6,4700.0 / 4900.0,0.0461,C2H4O2,C26H32O9 / C24H28O7,17000.0 / 15000.0,0.1422,possibly undescribed,none
822,522.2342,7.1,0,0,0,0,0,334611.84,14,Limonoid,C26H35O10N1,[M+NH4]+,"804, 822",CH2O2,C26H30O9 / C25H28O7,100000.0 / 43000.0,0.3978,C2H4O2,C26H30O9 / C24H26O7,100000.0 / 5200.0,0.1877,possibly undescribed,none
1171,501.2116,9.7,0,0,0,0,0,67478,14,Limonoid,C27H32O9,[M+H]+,"1171, 1172",CH6O2,C26H32O8 / C25H26O6,7000.0 / 2300.0,0.0231,none,none,none,none,possibly undescribed,none
1955,417.3358,15.8,101439.98,96969.72,84121.62,101800.01,88842.445,90542.055,14,Limonoid,C27H44O3,[M+H]+,none,none,none,none,none,none,none,none,none,possibly undescribed,none
