row ID,row m/z,row retention time,CUP_MeOH,PC_MeOH,AFI_MeOH,CUPI_MeOH,CUP_EtOAc,PC_EtOAc,Limonoid Score,type,elemental composition,adduct ion,same peak,CO2 loss,CO2 loss_ion_pair,CO2 loss_intensity_pair,CO2 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C6 ion,C6 ion_intensity,C6 ion_score,C5 ion,C5 ion_intensity,C5 ion_score,C7 ion,C7 ion_intensity,C7 ion_score,C8 ion,C8 ion_intensity,C8 ion_score,C9 ion,C9 ion_intensity,C9 ion_score,C10 ion,C10 ion_intensity,C10 ion_score,C11 ion,C11 ion_intensity,C11 ion_score,C12 ion,C12 ion_intensity,C12 ion_score,C13 ion,C13 ion_intensity,C13 ion_score,C14 ion,C14 ion_intensity,C14 ion_score,C15 ion,C15 ion_intensity,C15 ion_score,C16 ion,C16 ion_intensity,C16 ion_score,C17 ion,C17 ion_intensity,C17 ion_score,C26 ion,C26 ion_intensity,C26 ion_score,A parts,B parts,C parts,D parts,Annotation Structure
805,522.2333,7.1,0,40387.21,0,0,0,111524.95,26,Limonoid,C26H35O10N1,[M+NH4]+,"804, 805",CH2O2,C26H32O10 / C25H30O8,35000.0 / 38000.0,0.3373,C2H4O2,C26H32O10 / C24H28O8,35000.0 / 2800.0,0.0699,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C10H12O,4700,0.047,C11H14O,1600,0.016,C12H12O3,1900,0.019,none,none,none,C14H14O2,2000,0.02,none,none,none,C16H16O,5200,0.052,C17H16O2,5300,0.053,none,none,none,A1,none,C1,none,none
804,505.2063,7.1,0,22803.129,0,0,0,122791.67,33,Limonoid,C26H32O10,[M+H]+,"804, 805, 822",CH2O2,C26H32O10 / C25H30O8,24000.0 / 14000.0,0.1245,C2H4O2,C26H32O10 / C24H28O8,24000.0 / 9000.0,0.0864,none,none,none,none,none,none,none,none,none,none,none,none,C9H12,1700,0.017,C10H12O,2800,0.028,C11H10O2,2500,0.025,C12H10O2,3000,0.03,none,none,none,none,none,none,C15H14O2,2700,0.027,C16H16O,3300,0.033,C17H16O2,3800,0.038,none,none,none,A1,none,C1,D7,none
804,505.2063,7.1,0,22803.129,0,0,0,122791.67,33,Limonoid,C26H32O10,[M+H]+,"804, 805, 822",CH6O2,C24H26O5 / C23H20O7,9600.0 / 11000.0,0.0907,C2H4O2,C26H32O10 / C24H28O8,24000.0 / 9000.0,0.0864,none,none,none,none,none,none,none,none,none,none,none,none,C9H12,1700,0.017,C10H12O,2800,0.028,C11H10O2,2500,0.025,C12H10O2,3000,0.03,none,none,none,none,none,none,C15H14O2,2700,0.027,C16H16O,3300,0.033,C17H16O2,3800,0.038,none,none,none,A1,none,C1,D7,none
822,522.2342,7.1,0,0,0,0,0,334611.84,14,Limonoid,C26H35O10N1,[M+NH4]+,"804, 822",CH2O2,C26H30O9 / C25H28O7,100000.0 / 43000.0,0.3978,C2H4O2,C26H30O9 / C24H26O7,100000.0 / 5200.0,0.1877,none,none,none,none,none,none,C7H6O2,5200,0.052,C8H8O,6900,0.069,C9H12O,4600,0.046,C10H12O,8500,0.085,C11H10O2,9500,0.095,C12H10O2,8900,0.089,C13H14O,5400,0.054,C14H12O,7500,0.075,C15H16O,4800,0.048,C16H16O,7900,0.079,C17H16O2,12000,0.12,none,none,none,A1,none,C1,D6,none
829,487.1957,7.2,0,15075.422,0,0,0,222880.72,11,Limonoid,C26H30O9,[M+H-H2O]+,"829, 830",CH6O2,C25H30O8 / C24H24O6,3400.0 / 3300.0,0.0325,C2H4O2,C26H30O9 / C24H26O7,12000.0 / 3000.0,0.0341,none,none,none,none,none,none,C7H10O,1700,0.017,none,none,none,C9H12O2,1400,0.014,C10H12O,1800,0.018,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,A6,none,C1,none,none
829,487.1957,7.2,0,15075.422,0,0,0,222880.72,11,Limonoid,C26H30O9,[M+H-H2O]+,"829, 830",CH2O2,C26H30O9 / C25H28O7,12000.0 / 2100.0,0.0293,C2H4O2,C26H30O9 / C24H26O7,12000.0 / 3000.0,0.0341,none,none,none,none,none,none,C7H10O,1700,0.017,none,none,none,C9H12O2,1400,0.014,C10H12O,1800,0.018,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,A6,none,C1,none,none
829,487.1957,7.2,0,15075.422,0,0,0,222880.72,11,Limonoid,C26H30O9,[M+H-H2O]+,"829, 830",CH4O2,C24H28O7 / C23H24O5,2900.0 / 2900.0,0.029,C2H4O2,C26H30O9 / C24H26O7,12000.0 / 3000.0,0.0341,none,none,none,none,none,none,C7H10O,1700,0.017,none,none,none,C9H12O2,1400,0.014,C10H12O,1800,0.018,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,A6,none,C1,none,none
830,505.2062,7.2,0,32614.602,0,0,0,565067.06,12,Limonoid,C26H32O10,[M+H]+,"829, 830",CH2O2,C26H32O10 / C25H30O8,24000.0 / 19000.0,0.1744,C2H4O2,C26H32O10 / C24H28O8,24000.0 / 14000.0,0.1245,none,none,none,none,none,none,C7H10O,2600,0.026,none,none,none,C9H12O2,2000,0.02,C10H12O,3400,0.034,none,none,none,C12H12O,1800,0.018,none,none,none,none,none,none,C15H14O3,2700,0.027,C16H16O,3900,0.039,C17H18O2,3500,0.035,none,none,none,A6,none,C1,none,none
830,505.2062,7.2,0,32614.602,0,0,0,565067.06,12,Limonoid,C26H32O10,[M+H]+,"829, 830",CH6O2,C25H32O9 / C24H26O7,11000.0 / 14000.0,0.1008,C2H4O2,C26H32O10 / C24H28O8,24000.0 / 14000.0,0.1245,none,none,none,none,none,none,C7H10O,2600,0.026,none,none,none,C9H12O2,2000,0.02,C10H12O,3400,0.034,none,none,none,C12H12O,1800,0.018,none,none,none,none,none,none,C15H14O3,2700,0.027,C16H16O,3900,0.039,C17H18O2,3500,0.035,none,none,none,A6,none,C1,none,none
860,505.2051,7.5,0,8421.193,5175.3975,0,0,669512,19,Limonoid,C26H32O10,[M+H]+,"860, 869",CH2O2,C24H28O8 / C23H26O6,63000.0 / 31000.0,0.2796,C2H4O2,C26H30O9 / C24H26O7,36000.0 / 58000.0,0.3201,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,C1,none,none
