Compound Name,Type,M,M+NH3,M+CH3NH2
stelleralide C (S43),MD,C37H46O11,C37H49O11N1,C38H51O11N
daphnepedunin E (S44),MD,C37H46O11,C37H49O11N1,C38H51O11N
daphnepedunin F (S53),MD,C44H50O13,C44H53O13N1,C45H55O13N
edgeworthianin D (S40),MD,C36H52O10,C36H55O10N1,C37H57O10N
edgeworthianin E (S47),MD,C40H58O12,C40H61O12N1,C41H63O12N
edgeworthianin A (S42),MD,C36H50O11,C36H53O11N1,C37H55O11N
edgeworthianin B (S48),MD,C40H56O13,C40H59O13N1,C41H61O13N
edgeworthianin C (S52),MD,C43H54O13,C43H57O13N1,C44H59O13N
edgeworthianin G (S49),MD,C41H58O13,C41H61O13N1,C42H63O13N
edgeworthianin F (S46),MD,C38H54O12,C38H57O12N1,C39H59O12N
