row ID,row m/z,row retention time,Peak area,Standards Identification,SMILES,True Type,D Score,MD Score,type,elemental composition,identification,same composition,adduct ion,same peak,C10 loss,C10 loss_ion_pair,C10 loss_intensity_pair,C10 loss_score,C11 loss,C11 loss_ion_pair,C11 loss_intensity_pair,C11 loss_score,C9 loss,C9 loss_ion_pair,C9 loss_intensity_pair,C9 loss_score,C3 loss,C3 loss_ion_pair,C3 loss_intensity_pair,C3 loss_score,C2 loss,C2 loss_ion_pair,C2 loss_intensity_pair,C2 loss_score,C7 loss,C7 loss_ion_pair,C7 loss_intensity_pair,C7 loss_score
30,737.3159,5.4,124000000.0,DA28_daphneodorin F (DOL-U),C=C(C)C1(O)C(OC(=O)C=Cc2ccc(O)c(OC)c2)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CC=CCCC,D,18,0,D,C40H48O13,possibly known,std_daphneodorin F (DA28),[M+H]+,"30, 62",C10H10O4,C30H32O10 / C20H22O6,26000.0 / 49000.0,0.2324,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,86000.0 / 44000.0,0.3949,none,none,none,none,none,none,none,none
51,483.2007,4.5,2810000000.0,DA01_daphnetoxin (DPSft-28),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,15,0,D,C27H30O8,possibly known,std_daphnetoxin (DA01),[M+H]+,none,C10H10O4,C27H26O6 / C17H16O2,113438.7813 / 2099114.75,3.9582,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,966125.25 / 2099114.75,8.812,none,none,none,none,C7H6O2,C27H30O8 / C20H24O6,21152604.0 / 312177.9375,36.4821
52,603.2209,6.7,2260000000.0,DA10_genkwadaphnin (DPSft-21),C=C(C)C12OC3(c4ccccc4)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)c1ccccc1,D,10,0,D,C34H34O10,possibly known,std_genkwadaphnin (DA10),[M+H]+,none,C10H10O4,C27H24O6 / C17H14O2,2700.0 / 22000.0,0.0482,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,38000.0 / 130000.0,0.4009,none,none,none,none,C7H6O2,C27H24O6 / C20H18O4,2700.0 / 81000.0,0.1458
53,609.2678,8.3,5380000000.0,DA12_genkwanine H (DPSft-2),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C(O)C(O)(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)CC14)O2,D,22,0,D,C34H40O10,possibly known,"yuanhuakine D, std_genkwanine H (DA12), onishibarin C, neogenkwanine G, genkwanine D, genkwanine VIII",[M+H]+,none,C10H10O4,C27H30O6 / C17H20O2,260000.0 / 230000.0,2.1827,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,270000.0 / 230000.0,2.1552,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,260000.0 / 270000.0,2.5536
54,655.2537,8.6,4360000000.0,DA20_mezereine (DPSft-16),C=C(C)C12OC3(c4ccccc4)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=CC=Cc1ccccc1,D,14,0,D,C38H38O10,possibly known,std_mezerein (DA20),[M+H]+,none,C10H10O4,C27H26O7 / C17H16O3,910000.0 / 14000000.0,27.0514,C11H10O2,C31H32O8 / C20H22O6,1900000.0 / 2600000.0,17.161,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,8000000.0 / 14000000.0,71.1765,none,none,none,none,C7H6O2,C27H24O6 / C20H18O4,770000.0 / 11000000.0,21.4913
56,591.2588,8.4,4030000000.0,DA08_genkwanine M (DPSft12),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(COC(=O)c1ccccc1)C(O)C1(O)C(O)C(C)CC14)O2,D,6,0,D,C34H38O9,possibly known,"std_genkwanine N (DA07), std_genkwanine M (DA08)",[M+H]+,none,C10H10O4,C27H30O6 / C17H20O2,4706969.0 / 76637416.0,146.9084,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,5983355.5 / 76637416.0,152.4187,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,4706969.0 / 5983355.5,43.1482
57,547.3266,12.7,2880000000.0,DA05_daphnepedunin I (TDPE-60),C=C(C)C12CC(C)C34OC(CCCCCCCCCC)(OC1C3C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC14)O2,D,14,0,D,C31H46O8,possibly known,std_daphnepedunin I (DA05),[M+H]+,none,none,none,none,none,C11H22O2,C31H46O8 / C20H24O6,420000.0 / 62000.0,0.9696,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,340000.0 / 650000.0,3.0438,none,none,none,none,none,none,none,none
58,591.259,8.8,206000000.0,DA07_genkwanine N (Dpsft15),C=C(C)C12CC(C)C34OC(c5ccccc5)(OC1C3C1OC1(CO)C(O)C1(O)C(OC(=O)c3ccccc3)C(C)CC14)O2,D,19,0,D,C34H38O9,possibly known,"std_genkwanine N (DA07), std_genkwanine M (DA08)",[M+H]+,none,C10H10O4,C27H30O6 / C17H20O2,330000.0 / 810000.0,3.0943,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,650000.0 / 810000.0,5.9876,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,330000.0 / 650000.0,2.9642
59,603.352,8.7,68400639.45,DA11_wikstroelide M (NSC-8),C=C(C)C1(O)CC(C)C2(O)C(C1OC(=O)C=CC=CCCCCCCCCC)C1OC1(CO)C(O)C1(O)C(=O)C(C)=CC12,D,14,0,D,C34H50O9,possibly known,std_wikstroelide M (DA11),[M+H]+,"12, 59",none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O4 / C17H16O2,88000.0 / 38000.0,0.3512,none,none,none,none,none,none,none,none
60,615.3159,7.4,40637896.57,DA14_stelleralide K (NSC-5),C=C(C)C1(O)C(OC(C)=O)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CCCCCCCC,D,12,0,D,C34H46O10,possibly known,"yuahualine, std_wikstroelide H (DA13), genkwadane D",[M+H-H2O]+,"13, 60",none,none,none,none,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,150000.0 / 67000.0,0.6147,C2H4O2,C22H24O7 / C20H20O5,23000.0 / 150000.0,0.3505,none,none,none,none
61,635.3208,9.2,474013707.4,DA19_daphneodorin H (DOSO-H),C=C(C)C1(O)CC(C)C2(O)C(C1O)C1OC3(C(OC(=O)C=CC=CC=CCCC)C(C)CC23)C(O)C1(O)COC(=O)c1ccccc1,D,10,0,D,C37H46O9,possibly known,acutilonine F,[M+H-H2O]+,"29, 61",C10H10O4,C27H30O6 / C17H20O2,140000.0 / 33000.0,0.3867,none,none,none,none,none,none,none,none,C3H4O2,C20H24O4 / C17H20O2,130000.0 / 33000.0,0.3721,none,none,none,none,C7H6O2,C27H30O6 / C20H24O4,140000.0 / 130000.0,1.2569
62,719.3055,5.4,431219695.0,DA28_daphneodorin F (DOL-U),C=C(C)C1(O)C(OC(=O)C=Cc2ccc(O)c(OC)c2)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CC=CCCC,D,8,0,D,C40H46O12,possibly known,std_acutilobin C (DA26),[M+H-H2O]+,"30, 62",C10H10O4,C30H32O10 / C20H22O6,86000.0 / 100000.0,0.8083,none,none,none,none,none,none,none,none,C3H4O2,C20H20O5 / C17H16O3,170000.0 / 130000.0,1.1842,none,none,none,none,none,none,none,none
80,675.3157,8.0,780000000.0,DA25_daphneodorin G (DOSO-Q),C=C(C)C1(O)C(OC(=O)C=Cc2ccccc2)C(C)C2(O)C(C3OC3(CO)C(O)C3(O)C(=O)C(C)=CC32)C1OC(=O)C=CC=CCCCCC,D,12,0,D,C39H46O10,possibly known,"std_12-O-(E)-cinnamoyl-9,13,14-ortho-(2E,4E,6E)-decatrienylidyne-5ﾎｲ,12ﾎｲ-dihydroxyresiniferonol-6ﾎｱ,7ﾎｱ-oxide (DA22)",[M+H-H2O]+,"28, 80",none,none,none,none,none,none,none,none,C9H8O2,C29H26O6 / C20H18O4,21748.34765625 / 721974.4375,1.2898,C3H4O2,C20H20O5 / C17H16O3,580806.9375 / 382516.6875,3.412,none,none,none,none,none,none,none,none
